entry_offset_minutes,train_rows,trade_coverage,contract_threshold_accuracy,trade_threshold_accuracy,avg_confidence,contract_probability_brier,avg_trade_return,avg_open_to_entry_return,avg_open_to_close_return,selection_score
1,68,0.0,,,0.06950000000000002,0.24825916666666661,,0.00030372238449195935,0.0012544251258545635,0.0
2,68,0.03333333333333333,1.0,1.0,0.11800000000000001,0.22057999999999997,0.005627939195031351,-4.58146813399433e-05,0.0012544251258545635,0.0
3,68,0.0,,,0.15549999999999997,0.20237083333333328,,-6.943481939360636e-05,0.0012544251258545635,0.0
4,68,0.03333333333333333,1.0,1.0,0.16166666666666665,0.21298499999999995,0.003213751069891302,-0.00020972476467762864,0.0012544251258545635,0.0
5,68,0.03333333333333333,1.0,1.0,0.1948333333333333,0.18693083333333332,0.003094198707849327,-0.00044683316891144613,0.0012544251258545635,0.0
6,68,0.03333333333333333,1.0,1.0,0.23566666666666666,0.16336666666666663,0.0022497889107795377,0.00017266799199742907,0.0012544251258545635,0.0
7,68,0.0,,,0.2644666666666667,0.12394553333333332,,0.0008571297356895509,0.0012544251258545635,0.0
8,68,0.03333333333333333,1.0,1.0,0.2853,0.11053203333333331,0.002317882891471723,0.0006826205288660884,0.0012544251258545635,0.0
9,68,0.03333333333333333,1.0,1.0,0.29729999999999995,0.10594418333333334,0.002724007258580352,0.0007771541965534423,0.0012544251258545635,0.0
10,68,0.03333333333333333,1.0,1.0,0.30805,0.09513004166666668,0.001687974980572271,0.0011664667344358263,0.0012544251258545635,0.0
